name\Field	electricity	solar	heat	efficiency	civ_power	input_resources	input_rates	output_resources	output_rates	mass_flow	fuel_rate	target_products
Type	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	ARRAY[TABLE]	ARRAY[FLOAT]	ARRAY[TABLE]	ARRAY[FLOAT]	FLOAT	FLOAT	ARRAY[TABLE]
Unit	MW	MW	MW		MW		t/h		t/h	t/h	t/h	
Prefix/OPERATION_						RESOURCE_		RESOURCE_				
SOLAR_POWER	1	4.00	3.00	0.25	4.00					0	0	
GEOTHERMAL_POWER	1		5.67	0.15	6.67					0	0	
HYDROPOWER	1		0.0870	0.92	1.09					0	0	
WIND_POWER	1		0.0526	0.95	1.05					0	0	
TIDAL_POWER	1		0.111	0.90	1.11					0	0	
HYDROGEN_POWER	1		1.22	0.45	2.22	HYDROGEN;OXYGEN	0.0667;0.533	WATER	0.600	0.600	0.0667	
METHANE_POWER	1		1.00	0.50	2.00	METHANE;OXYGEN	0.144;0.576	CARBON_DIOXIDE;WATER	0.396;0.324	0.720	0.144	
METHANOL_POWER	1		1.38	0.42	2.38	METHANOL;OXYGEN	0.431;0.646	CARBON_DIOXIDE;WATER	0.592;0.485	1.077	0.431	
ETHANOL_POWER	1		1.38	0.42	2.38	ETHANOL;OXYGEN	0.320;0.668	CARBON_DIOXIDE;WATER	0.612;0.376	0.988	0.320	
LIQ_HYDROCARBONS_POWER	1		1.38	0.42	2.38	LIQ_HYDROCARBONS;OXYGEN	0.199;0.677	CARBON_DIOXIDE;WATER	0.625;0.251	0.876	0.199	
OIL_POWER	1		1.63	0.38	2.63	OIL;OXYGEN	0.237;0.760	CARBON_DIOXIDE;WATER;SULFUR;INDUST_WASTE	0.734;0.256;3.56e-3;3.32e-3	0.997	0.237	
COAL_POWER	1		1.38	0.42	2.38	COAL;OXYGEN	0.343;0.708	CARBON_DIOXIDE;WATER;SULFUR;INDUST_WASTE	0.830;0.170;5.15e-3;0.0463	1.051	0.343	
HYDROGEN_FUEL_CELLS	1		0.818	0.55	1.82	HYDROGEN;OXYGEN	0.0545;0.436	WATER	0.491	0.491	0.0545	
METHANE_FUEL_CELLS	1		0.818	0.55	1.82	METHANE;OXYGEN	0.131;0.524	CARBON_DIOXIDE;WATER	0.360;0.295	0.655	0.131	
METHANOL_FUEL_CELLS	1		1.22	0.45	2.22	METHANOL;OXYGEN	0.402;0.603	CARBON_DIOXIDE;WATER	0.553;0.452	1.005	0.402	
LEU_FISSION_POWER	1		1.94	0.34	2.94	LE_URANIUM_FUEL	3.47e-6	SPENT_URANIUM_FUEL	3.47e-6	3.47e-6	3.47e-6	
HEU_FISSION_POWER	1		2.33	0.30	3.33	HE_URANIUM_FUEL	3.70e-6	SPENT_URANIUM_FUEL	3.70e-6	3.70e-6	3.70e-6	
THORIUM_FISSION_POWER	1		1.94	0.34	2.94	THORIUM_FUEL	4.36e-6	SPENT_THORIUM_FUEL	4.36e-6	4.36e-6	4.36e-6	
D_T_FUSION_POWER	1		1.50	0.40	2.50	DEUTERIUM;INDUST_METALS	8.39e-9;2.51e-8	HELIUM	3.35e-8	3.35e-8	3.35e-8	
D_3HE_FUSION_POWER	1		1.00	0.50	2.00	DEUTERIUM;HELIUM_3	8.22e-9;1.23e-8	HELIUM;HYDROGEN	1.63e-8;4.20e-9	2.05e-8	2.05e-8	
3HE_3HE_FUSION_POWER	1		0.818	0.55	1.82	HELIUM_3	3.18e-8	HELIUM;HYDROGEN	2.11e-8;1.07e-8	3.18e-8	3.18e-8	
RADIOISOTOPE_POWER	1		9.00	0.10	10.0					0	0	
ATMOS_SEPARATION												
VOLATILES_SEPARATION												
HYDROCARBON_SEPARATION												
DESALINATION												
BRINE_PROCESSING												
GAS_DRILLING												
OIL_DRILLING												
COAL_MINING												
IRON_MINING												
ALUMINIUM_MINING												
INDUST_METALS_MINING												
PRECIOUS_METALS_MINING												
URANIUM_MINING												
RARE_EARTHS_MINING												
SULFUR_MINING												
ORGANICS_MINING												
INDUST_MINERALS_MINING												
STONE_QUARRYING												
REGOLITH_QUARRYING												
OIL_REFINING	-0.10		0.0100	0.90	0	OIL;HYDROGEN	0.979;0.021	LIQ_HYDROCARBONS;METHANE;CARBON;SULFUR;INDUST_WASTE	0.881;0.050;0.040;0.014;0.015	1		LIQ_HYDROCARBONS;METHANE;CARBON;SULFUR
IRON_NICKEL_REFINING	-0.35		0.0525	0.85	0	IRON_NICKEL	1	IRON;INDUST_METALS;SULFUR;INDUST_WASTE	0.910;0.086;0.002;0.002	1		IRON;INDUST_METALS;SULFUR
IRON_ORE_SMELTING	-0.04		0.00600	0.85	0	IRON_ORES;CARBON;OXYGEN	0.635;0.154;0.211	IRON;CARBON_DIOXIDE;INDUST_WASTE	0.373;0.480;0.147	1		IRON
BASIC_O2_STEELMAKING	-0.03		0.00360	0.88	0	IRON;OXYGEN;INDUST_MINERALS;INDUST_METALS	0.832;0.093;0.063;0.012	STEEL;CARBON_DIOXIDE;INDUST_WASTE	0.793;0.113;0.094	1		STEEL
H2_REDUCTION_STEELMAKING	-0.24		0.0360	0.85	0	IRON_ORES;HYDROGEN;INDUST_METALS;CARBON	0.962;0.028;0.008;0.002	STEEL;WATER;INDUST_WASTE	0.535;0.255;0.210	1		STEEL
ELECTRIC_STEELMAKING	-0.40		0.0800	0.80	0	IRON;OXYGEN;INDUST_MINERALS;INDUST_METALS	0.832;0.093;0.063;0.012	STEEL;CARBON_DIOXIDE;INDUST_WASTE	0.793;0.113;0.094	1		STEEL
SOLAR_STEELMAKING	-0.02	1.50	0.456	0.70	1.50	IRON_ORES;CARBON;INDUST_METALS	0.840;0.150;0.010	STEEL;CARBON_MONOXIDE;INDUST_WASTE	0.479;0.346;0.175	1		STEEL
ALUMINIUM_REFINING	-2.80		0.420	0.85	0	ALUMINIUM_ORES;CARBON	0.938;0.062	ALUMINIUM;CARBON_DIOXIDE;INDUST_WASTE	0.186;0.227;0.587	1		ALUMINIUM
